Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Belgium,11589616,"2021-04-20 00:00:00",955056,8.2400
Lithuania,2722291,"2021-04-09 00:00:00",224309,8.2400
Netherlands,17134873,"2021-04-16 00:00:00",1411474,8.2400
Luxembourg,625976,"2021-02-05 00:00:00",51512,8.2300
Luxembourg,625976,"2021-02-06 00:00:00",51512,8.2300
Luxembourg,625976,"2021-02-07 00:00:00",51512,8.2300
Panama,4314768,"2021-03-31 00:00:00",355051,8.2300
"United States",331002647,"2021-02-09 00:00:00",27257183,8.2300
Panama,4314768,"2021-03-30 00:00:00",354604,8.2200
Montenegro,628062,"2021-01-08 00:00:00",51596,8.2200
Bahrain,1701583,"2021-03-26 00:00:00",139953,8.2200
Andorra,77265,"2020-11-24 00:00:00",6351,8.2200
Belgium,11589616,"2021-04-19 00:00:00",951626,8.2100
France,68147687,"2021-04-27 00:00:00",5595403,8.2100
Estonia,1326539,"2021-04-03 00:00:00",108937,8.2100
Panama,4314768,"2021-03-29 00:00:00",354085,8.2100
"San Marino",33938,"2021-01-18 00:00:00",2787,8.2100
"United States",331002647,"2021-02-08 00:00:00",27161551,8.2100
Panama,4314768,"2021-03-28 00:00:00",353839,8.2000
Portugal,10196707,"2021-04-29 00:00:00",836033,8.2000
Portugal,10196707,"2021-04-30 00:00:00",836493,8.2000
Belgium,11589616,"2021-04-18 00:00:00",949996,8.2000
Israel,8655541,"2021-02-10 00:00:00",709729,8.2000
Lithuania,2722291,"2021-04-08 00:00:00",223127,8.2000
Luxembourg,625976,"2021-02-04 00:00:00",51330,8.2000
Panama,4314768,"2021-03-27 00:00:00",353497,8.1900
Portugal,10196707,"2021-04-26 00:00:00",834638,8.1900
Portugal,10196707,"2021-04-27 00:00:00",834991,8.1900
Portugal,10196707,"2021-04-28 00:00:00",835563,8.1900
"San Marino",33938,"2021-01-16 00:00:00",2778,8.1900
"San Marino",33938,"2021-01-17 00:00:00",2778,8.1900
"United States",331002647,"2021-02-07 00:00:00",27071236,8.1800
Panama,4314768,"2021-03-26 00:00:00",353017,8.1800
Portugal,10196707,"2021-04-24 00:00:00",833964,8.1800
Portugal,10196707,"2021-04-25 00:00:00",834442,8.1800
Slovenia,2078932,"2021-02-03 00:00:00",170101,8.1800
Netherlands,17134873,"2021-04-15 00:00:00",1402433,8.1800
Bahrain,1701583,"2021-03-25 00:00:00",139124,8.1800
Belgium,11589616,"2021-04-17 00:00:00",947000,8.1700
Estonia,1326539,"2021-04-02 00:00:00",108418,8.1700
France,68147687,"2021-04-26 00:00:00",5565080,8.1700
Czechia,10708982,"2021-01-15 00:00:00",874605,8.1700
Serbia,6804596,"2021-03-22 00:00:00",555897,8.1700
Panama,4314768,"2021-03-25 00:00:00",352579,8.1700
Portugal,10196707,"2021-04-22 00:00:00",832891,8.1700
Portugal,10196707,"2021-04-23 00:00:00",833397,8.1700
Luxembourg,625976,"2021-02-03 00:00:00",51128,8.1700
Lithuania,2722291,"2021-04-07 00:00:00",222020,8.1600
Andorra,77265,"2020-11-23 00:00:00",6304,8.1600
France,68147687,"2021-04-25 00:00:00",5559121,8.1600
Panama,4314768,"2021-03-24 00:00:00",352082,8.1600
Portugal,10196707,"2021-04-20 00:00:00",831645,8.1600
Portugal,10196707,"2021-04-21 00:00:00",832255,8.1600
Panama,4314768,"2021-03-23 00:00:00",351667,8.1500
Portugal,10196707,"2021-04-17 00:00:00",830560,8.1500
Portugal,10196707,"2021-04-18 00:00:00",831001,8.1500
Portugal,10196707,"2021-04-19 00:00:00",831221,8.1500
"San Marino",33938,"2021-01-15 00:00:00",2767,8.1500
"United States",331002647,"2021-02-06 00:00:00",26981588,8.1500
Montenegro,628062,"2021-01-07 00:00:00",51160,8.1500
Panama,4314768,"2021-03-22 00:00:00",351213,8.1400
Portugal,10196707,"2021-04-16 00:00:00",829911,8.1400
Belgium,11589616,"2021-04-16 00:00:00",943213,8.1400
Bahrain,1701583,"2021-03-24 00:00:00",138283,8.1300
Netherlands,17134873,"2021-04-14 00:00:00",1393543,8.1300
Luxembourg,625976,"2021-02-02 00:00:00",50923,8.1300
Israel,8655541,"2021-02-09 00:00:00",703719,8.1300
Panama,4314768,"2021-03-20 00:00:00",350665,8.1300
Panama,4314768,"2021-03-21 00:00:00",350991,8.1300
Portugal,10196707,"2021-04-14 00:00:00",828857,8.1300
Portugal,10196707,"2021-04-15 00:00:00",829358,8.1300
Panama,4314768,"2021-03-19 00:00:00",350220,8.1200
Portugal,10196707,"2021-04-11 00:00:00",827494,8.1200
Portugal,10196707,"2021-04-12 00:00:00",827765,8.1200
Portugal,10196707,"2021-04-13 00:00:00",828173,8.1200
"United States",331002647,"2021-02-05 00:00:00",26877601,8.1200
France,68147687,"2021-04-24 00:00:00",5534656,8.1200
Portugal,10196707,"2021-04-10 00:00:00",826928,8.1100
Lithuania,2722291,"2021-04-06 00:00:00",220900,8.1100
Luxembourg,625976,"2021-02-01 00:00:00",50733,8.1000
Netherlands,17134873,"2021-04-13 00:00:00",1387961,8.1000
Belgium,11589616,"2021-04-15 00:00:00",939309,8.1000
Andorra,77265,"2020-11-22 00:00:00",6256,8.1000
Panama,4314768,"2021-03-18 00:00:00",349505,8.1000
Portugal,10196707,"2021-04-08 00:00:00",825633,8.1000
Portugal,10196707,"2021-04-09 00:00:00",826327,8.1000
Slovenia,2078932,"2021-02-02 00:00:00",168486,8.1000
Serbia,6804596,"2021-03-21 00:00:00",551128,8.1000
Panama,4314768,"2021-03-17 00:00:00",349020,8.0900
Portugal,10196707,"2021-04-07 00:00:00",825031,8.0900
Lithuania,2722291,"2021-04-05 00:00:00",220212,8.0900
Croatia,4105268,"2021-04-30 00:00:00",332183,8.0900
Czechia,10708982,"2021-01-14 00:00:00",866522,8.0900
Estonia,1326539,"2021-04-01 00:00:00",107253,8.0900
Bahrain,1701583,"2021-03-23 00:00:00",137550,8.0800
Panama,4314768,"2021-03-16 00:00:00",348580,8.0800
Portugal,10196707,"2021-04-05 00:00:00",823494,8.0800
Portugal,10196707,"2021-04-06 00:00:00",824368,8.0800
"United States",331002647,"2021-02-04 00:00:00",26743204,8.0800
Panama,4314768,"2021-03-15 00:00:00",348155,8.0700
Portugal,10196707,"2021-04-02 00:00:00",822862,8.0700
Portugal,10196707,"2021-04-03 00:00:00",823142,8.0700
Portugal,10196707,"2021-04-04 00:00:00",823335,8.0700
Belgium,11589616,"2021-04-14 00:00:00",935316,8.0700
France,68147687,"2021-04-23 00:00:00",5502014,8.0700
Lithuania,2722291,"2021-04-04 00:00:00",219607,8.0700
Montenegro,628062,"2021-01-06 00:00:00",50697,8.0700
Hungary,9660350,"2021-04-30 00:00:00",779348,8.0700
Netherlands,17134873,"2021-04-12 00:00:00",1381182,8.0600
Panama,4314768,"2021-03-13 00:00:00",347641,8.0600
Panama,4314768,"2021-03-14 00:00:00",347919,8.0600
Portugal,10196707,"2021-03-31 00:00:00",821722,8.0600
Portugal,10196707,"2021-04-01 00:00:00",822314,8.0600
"San Marino",33938,"2021-01-14 00:00:00",2737,8.0600
Panama,4314768,"2021-03-12 00:00:00",347226,8.0500
Portugal,10196707,"2021-03-28 00:00:00",820407,8.0500
Portugal,10196707,"2021-03-29 00:00:00",820716,8.0500
Portugal,10196707,"2021-03-30 00:00:00",821104,8.0500
Sweden,10099270,"2021-04-01 00:00:00",813191,8.0500
Sweden,10099270,"2021-04-02 00:00:00",813191,8.0500
Sweden,10099270,"2021-04-03 00:00:00",813191,8.0500
Sweden,10099270,"2021-04-04 00:00:00",813191,8.0500
Sweden,10099270,"2021-04-05 00:00:00",813191,8.0500
Luxembourg,625976,"2021-01-29 00:00:00",50388,8.0500
Luxembourg,625976,"2021-01-30 00:00:00",50388,8.0500
Luxembourg,625976,"2021-01-31 00:00:00",50388,8.0500
Israel,8655541,"2021-02-08 00:00:00",696528,8.0500
Hungary,9660350,"2021-04-29 00:00:00",776983,8.0400
Lithuania,2722291,"2021-04-03 00:00:00",218878,8.0400
Panama,4314768,"2021-03-11 00:00:00",346775,8.0400
Portugal,10196707,"2021-03-26 00:00:00",819698,8.0400
Portugal,10196707,"2021-03-27 00:00:00",820042,8.0400
Serbia,6804596,"2021-03-20 00:00:00",546896,8.0400
"United States",331002647,"2021-02-03 00:00:00",26619229,8.0400
Bahrain,1701583,"2021-03-22 00:00:00",136741,8.0400
Croatia,4105268,"2021-04-29 00:00:00",330176,8.0400
France,68147687,"2021-04-22 00:00:00",5469674,8.0300
Andorra,77265,"2020-11-21 00:00:00",6207,8.0300
Belgium,11589616,"2021-04-13 00:00:00",930603,8.0300
Panama,4314768,"2021-03-10 00:00:00",346301,8.0300
Portugal,10196707,"2021-03-24 00:00:00",818787,8.0300
Portugal,10196707,"2021-03-25 00:00:00",819210,8.0300
Slovenia,2078932,"2021-02-01 00:00:00",166836,8.0300
Portugal,10196707,"2021-03-21 00:00:00",817530,8.0200
Portugal,10196707,"2021-03-22 00:00:00",817778,8.0200
Portugal,10196707,"2021-03-23 00:00:00",818212,8.0200
"San Marino",33938,"2021-01-13 00:00:00",2723,8.0200
Luxembourg,625976,"2021-01-28 00:00:00",50228,8.0200
Netherlands,17134873,"2021-04-11 00:00:00",1374451,8.0200
Hungary,9660350,"2021-04-28 00:00:00",774399,8.0200
